"movieId","title","genres","Adventure","Animation","Children","Comedy","Fantasy","Romance","Drama","Action","Crime","Thriller","Horror","Mystery","SciFi","War","Musical","Documentary","IMAX","Western","FilmNoir","NoGenresListed","movieId","imdbId","tmdbId"
1,"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,114709,862
2,"Jumanji (1995)","Adventure|Children|Fantasy",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,113497,8844
3,"Grumpier Old Men (1995)","Comedy|Romance",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,113228,15602
4,"Waiting to Exhale (1995)","Comedy|Drama|Romance",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,114885,31357
5,"Father of the Bride Part II (1995)","Comedy",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,113041,11862
6,"Heat (1995)","Action|Crime|Thriller",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6,113277,949
7,"Sabrina (1995)","Comedy|Romance",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,114319,11860
8,"Tom and Huck (1995)","Adventure|Children",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,112302,45325
9,"Sudden Death (1995)","Action",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,114576,9091
10,"GoldenEye (1995)","Action|Adventure|Thriller",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,113189,710
11,"American President, The (1995)","Comedy|Drama|Romance",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,112346,9087
12,"Dracula: Dead and Loving It (1995)","Comedy|Horror",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,112896,12110
13,"Balto (1995)","Adventure|Animation|Children",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,112453,21032
14,"Nixon (1995)","Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,113987,10858
15,"Cutthroat Island (1995)","Action|Adventure|Romance",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,112760,1408
16,"Casino (1995)","Crime|Drama",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,16,112641,524
17,"Sense and Sensibility (1995)","Drama|Romance",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,114388,4584
18,"Four Rooms (1995)","Comedy",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,113101,5
19,"Ace Ventura: When Nature Calls (1995)","Comedy",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,112281,9273
20,"Money Train (1995)","Action|Comedy|Crime|Drama|Thriller",0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,20,113845,11517
21,"Get Shorty (1995)","Comedy|Crime|Thriller",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,21,113161,8012
22,"Copycat (1995)","Crime|Drama|Horror|Mystery|Thriller",0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,22,112722,1710
23,"Assassins (1995)","Action|Crime|Thriller",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,23,112401,9691
24,"Powder (1995)","Drama|Sci-Fi",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,24,114168,12665
25,"Leaving Las Vegas (1995)","Drama|Romance",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,113627,451
26,"Othello (1995)","Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,114057,16420
27,"Now and Then (1995)","Children|Drama",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,114011,9263
28,"Persuasion (1995)","Drama|Romance",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,114117,17015
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","Adventure|Drama|Fantasy|Mystery|Sci-Fi",1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,29,112682,902
30,"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)","Crime|Drama",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,115012,37557
31,"Dangerous Minds (1995)","Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,112792,9909
32,"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)","Mystery|Sci-Fi|Thriller",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,32,114746,63
34,"Babe (1995)","Children|Drama",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,112431,9598
36,"Dead Man Walking (1995)","Crime|Drama",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,36,112818,687
38,"It Takes Two (1995)","Children|Comedy",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,113442,33689
39,"Clueless (1995)","Comedy|Romance",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,112697,9603
40,"Cry, the Beloved Country (1995)","Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,112749,34615
41,"Richard III (1995)","Drama|War",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,41,114279,31174
42,"Dead Presidents (1995)","Action|Crime|Drama",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,42,112819,11443
43,"Restoration (1995)","Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,114272,35196
44,"Mortal Kombat (1995)","Action|Adventure|Fantasy",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,113855,9312
45,"To Die For (1995)","Comedy|Drama|Thriller",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,45,114681,577
46,"How to Make an American Quilt (1995)","Drama|Romance",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,113347,11861
47,"Seven (a.k.a. Se7en) (1995)","Mystery|Thriller",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,47,114369,807
48,"Pocahontas (1995)","Animation|Children|Drama|Musical|Romance",0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,48,114148,10530
49,"When Night Is Falling (1995)","Drama|Romance",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49,114916,8391
50,"Usual Suspects, The (1995)","Crime|Mystery|Thriller",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,50,114814,629
52,"Mighty Aphrodite (1995)","Comedy|Drama|Romance",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,113819,11448
53,"Lamerica (1994)","Adventure|Drama",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,110299,49133
54,"Big Green, The (1995)","Children|Comedy",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,112499,26441
55,"Georgia (1995)","Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,113158,97406
57,"Home for the Holidays (1995)","Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57,113321,9089
58,"Postman, The (Postino, Il) (1994)","Comedy|Drama|Romance",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,110877,11010
60,"Indian in the Cupboard, The (1995)","Adventure|Children|Fantasy",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,113419,11359
61,"Eye for an Eye (1996)","Drama|Thriller",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,61,116260,17182
62,"Mr. Holland's Opus (1995)","Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,113862,2054
63,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)","Comedy|Crime",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,63,116126,10607
64,"Two if by Sea (1996)","Comedy|Romance",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,118002,19760
65,"Bio-Dome (1996)","Comedy",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,115683,9536
66,"Lawnmower Man 2: Beyond Cyberspace (1996)","Action|Sci-Fi|Thriller",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,66,116839,11525
68,"French Twist (Gazon maudit) (1995)","Comedy|Romance",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,113149,4482
69,"Friday (1995)","Comedy",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,113118,10634
70,"From Dusk Till Dawn (1996)","Action|Comedy|Horror|Thriller",0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,70,116367,755
71,"Fair Game (1995)","Action",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71,113010,11859
72,"Kicking and Screaming (1995)","Comedy|Drama",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72,113537,28387
73,"Misérables, Les (1995)","Drama|War",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,73,113828,48750
74,"Bed of Roses (1996)","Drama|Romance",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74,115644,20927
75,"Big Bully (1996)","Comedy|Drama",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75,115676,36929
76,"Screamers (1995)","Action|Sci-Fi|Thriller",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,76,114367,9102
77,"Nico Icon (1995)","Documentary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,77,113973,124626
78,"Crossing Guard, The (1995)","Action|Crime|Drama|Thriller",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,78,112744,27526
79,"Juror, The (1996)","Drama|Thriller",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,79,116731,9623
80,"White Balloon, The (Badkonake sefid) (1995)","Children|Drama",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,112445,46785
81,"Things to Do in Denver When You're Dead (1995)","Crime|Drama|Romance",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,81,114660,400
82,"Antonia's Line (Antonia) (1995)","Comedy|Drama",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,112379,880
83,"Once Upon a Time... When We Were Colored (1995)","Drama|Romance",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,114039,146599
85,"Angels and Insects (1995)","Drama|Romance",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85,112365,8447
86,"White Squall (1996)","Action|Adventure|Drama",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,86,118158,10534
87,"Dunston Checks In (1996)","Children|Comedy",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,116151,17414
88,"Black Sheep (1996)","Comedy",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,115697,13997
89,"Nick of Time (1995)","Action|Thriller",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,89,113972,2086
92,"Mary Reilly (1996)","Drama|Horror|Thriller",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,92,117002,9095
93,"Vampire in Brooklyn (1995)","Comedy|Horror|Romance",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93,114825,12158
94,"Beautiful Girls (1996)","Comedy|Drama|Romance",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94,115639,9283
95,"Broken Arrow (1996)","Action|Adventure|Thriller",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,95,115759,9208
96,"In the Bleak Midwinter (1995)","Comedy|Drama",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,113403,40154
97,"Hate (Haine, La) (1995)","Crime|Drama",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,97,113247,406
99,"Heidi Fleiss: Hollywood Madam (1995)","Documentary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99,113283,63076
100,"City Hall (1996)","Drama|Thriller",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,100,115907,11062
101,"Bottle Rocket (1996)","Adventure|Comedy|Crime|Romance",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,101,115734,13685
102,"Mr. Wrong (1996)","Comedy",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,117102,47475
103,"Unforgettable (1996)","Mystery|Sci-Fi|Thriller",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,103,118040,2045
104,"Happy Gilmore (1996)","Comedy",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,116483,9614
105,"Bridges of Madison County, The (1995)","Drama|Romance",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105,112579,688
106,"Nobody Loves Me (Keiner liebt mich) (1994)","Comedy|Drama",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106,110251,11907
107,"Muppet Treasure Island (1996)","Adventure|Children|Comedy|Musical",1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,107,117110,10874
108,"Catwalk (1996)","Documentary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,108,112646,89333
110,"Braveheart (1995)","Action|Drama|War",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,110,112573,197
111,"Taxi Driver (1976)","Crime|Drama|Thriller",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,111,75314,103
112,"Rumble in the Bronx (Hont faan kui) (1995)","Action|Adventure|Comedy|Crime",1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,112,113326,33542
113,"Before and After (1996)","Drama|Mystery",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,113,115645,43566
116,"Anne Frank Remembered (1995)","Documentary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,116,112373,51352
117,"Young Poisoner's Handbook, The (1995)","Crime|Drama",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,117,115033,16934
118,"If Lucy Fell (1996)","Comedy|Romance",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,116606,10324
119,"Steal Big, Steal Little (1995)","Comedy",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,114536,78406
121,"Boys of St. Vincent, The (1992)","Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,121,106473,32119
122,"Boomerang (1992)","Comedy|Romance",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,103859,11066
123,"Chungking Express (Chung Hing sam lam) (1994)","Drama|Mystery|Romance",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,123,109424,11104
